date,b117,original
2020-12-23,0,4471
2020-12-24,0,3047
2020-12-25,0,1721
2020-12-26,883,1472
2020-12-27,0,2114
2020-12-28,280,4752
2020-12-29,0,4460
2020-12-30,0,4210
2020-12-31,266,2788
2021-01-01,73,1606
2021-01-02,0,2718
2021-01-06,3348,0
2021-01-08,1016,2033
2021-01-09,109,1573
2021-01-10,226,1067
2021-01-11,561,2898
2021-01-12,834,1773
2021-01-13,262,2199
2021-01-14,176,2062
2021-01-15,319,1840
2021-01-16,284,1053
2021-01-17,251,641
2021-01-18,726,2220
2021-01-19,518,1812
2021-01-20,320,1959
2021-01-21,200,1855
2021-01-22,951,1086
2021-01-23,251,847
2021-01-24,228,504
2021-01-25,607,1882
2021-01-26,780,1058
2021-01-27,827,1043
2021-01-28,751,1028
2021-01-29,718,1047
2021-01-30,453,566
2021-01-31,360,378
2021-02-01,951,1211
2021-02-02,1021,629
2021-02-03,1278,451
2021-02-04,834,609
2021-02-05,945,561
2021-02-06,591,296
2021-02-07,240,433
2021-02-08,1223,524
2021-02-09,1010,337
2021-02-10,971,286
2021-02-11,850,322
2021-02-12,860,271
2021-02-13,479,239
2021-02-14,242,242
2021-02-15,1034,272
2021-02-16,708,431
2021-02-17,810,405
2021-02-18,614,391
2021-02-19,796,299
2021-02-20,501,191
2021-02-21,430,94
2021-02-22,1117,292
2021-02-23,979,280
2021-02-24,815,261
2021-02-25,830,291
2021-02-26,1082,0
2021-02-27,663,60
2021-02-28,500,47
2021-03-01,1330,89
2021-03-02,1106,123
2021-03-03,1091,149
2021-03-04,986,76
2021-03-05,1230,47
2021-03-06,710,55
2021-03-07,521,61
2021-03-08,1702,0
2021-03-09,1298,89
2021-03-10,1256,130
2021-03-11,1184,154
2021-03-12,1238,103
2021-03-13,761,160
2021-03-14,672,32
2021-03-15,1920,0
2021-03-16,1438,212
2021-03-17,1660,166
2021-03-18,1558,87
2021-03-19,1366,178
2021-03-20,995,114
2021-03-21,706,81
2021-03-22,2129,133
2021-03-23,1718,275
2021-03-24,1825,104
2021-03-25,2139,0
