date,b117,original
2020-12-14,0,5915
2020-12-15,0,5165
2020-12-16,0,4817
2020-12-17,0,4386
2020-12-18,0,4341
2020-12-19,18,2657
2020-12-20,0,1954
2020-12-21,32,5594
2020-12-22,0,4601
2020-12-23,0,4471
2020-12-24,15,3032
2020-12-25,0,1721
2020-12-26,0,2355
2020-12-27,0,2114
2020-12-28,27,5004
2020-12-29,28,4433
2020-12-30,15,4195
2020-12-31,0,3054
2021-01-01,0,1679
2021-01-02,25,2692
2021-01-03,34,2183
2021-01-04,110,5167
2021-01-05,26,4137
2021-01-06,32,3317
2021-01-07,16,3160
2021-01-08,47,3002
2021-01-09,35,1647
2021-01-10,0,1293
2021-01-11,141,3317
2021-01-12,100,2507
2021-01-13,115,2346
2021-01-14,87,2151
2021-01-15,122,2037
2021-01-16,41,1296
2021-01-17,127,765
2021-01-18,268,2677
2021-01-19,154,2176
2021-01-20,273,2006
2021-01-21,230,1825
2021-01-22,259,1777
2021-01-23,120,977
2021-01-24,144,588
2021-01-25,356,2133
2021-01-26,268,1570
2021-01-27,300,1570
2021-01-28,480,1298
2021-01-29,381,1383
2021-01-30,93,926
2021-01-31,115,624
2021-02-01,491,1671
2021-02-02,270,1380
2021-02-03,332,1398
2021-02-04,417,1025
2021-02-05,446,1060
2021-02-06,288,599
2021-02-07,336,336
2021-02-08,540,1207
2021-02-09,298,1049
2021-02-10,285,970
2021-02-11,283,890
