date,b117,original
2020-12-14,0,5915
2020-12-15,0,5165
2020-12-16,0,4817
2020-12-17,0,4386
2020-12-18,0,4341
2020-12-19,0,2675
2020-12-20,0,1954
2020-12-21,0,5626
2020-12-22,0,4601
2020-12-23,0,4471
2020-12-24,0,3047
2020-12-25,0,1721
2020-12-26,57,2298
2020-12-27,0,2114
2020-12-28,45,4986
2020-12-29,77,4384
2020-12-30,68,4142
2020-12-31,54,3000
2021-01-01,0,1679
2021-01-02,36,2681
2021-01-03,14,2203
2021-01-04,103,5174
2021-01-05,246,3917
2021-01-06,69,3280
2021-01-07,121,3055
2021-01-08,119,2930
2021-01-09,152,1530
2021-01-10,24,1269
2021-01-11,222,3236
2021-01-12,86,2521
2021-01-13,83,2378
2021-01-14,62,2176
2021-01-15,158,2001
2021-01-16,63,1274
2021-01-17,51,841
2021-01-18,92,2853
2021-01-19,178,2152
2021-01-20,206,2073
2021-01-21,200,1855
2021-01-22,134,1902
2021-01-23,190,907
2021-01-24,92,640
2021-01-25,311,2178
2021-01-26,273,1565
2021-01-27,279,1591
2021-01-28,395,1383
2021-01-29,317,1447
2021-01-30,196,823
2021-01-31,112,627
2021-02-01,580,1582
2021-02-02,404,1246
2021-02-03,526,1204
2021-02-04,243,1199
2021-02-05,509,997
2021-02-06,174,713
2021-02-07,260,412
2021-02-08,488,1259
2021-02-09,432,915
2021-02-10,628,628
2021-02-11,544,629
