date,b117,original
2020-12-14,0.0,582.0
2020-12-15,0.0,541.0
2020-12-16,0.0,491.0
2020-12-18,0.0,458.0
2020-12-19,0.0,276.0
2020-12-20,0.0,184.0
2020-12-21,0.0,530.0
2020-12-22,0.0,504.0
2020-12-23,0.0,432.0
2020-12-24,352.0,0.0
2020-12-25,0.0,150.0
2020-12-26,0.0,294.0
2020-12-27,0.0,168.0
2020-12-28,0.0,530.0
2020-12-29,0.0,461.0
2020-12-30,0.0,437.0
2020-12-31,0.0,326.0
2021-01-02,0.0,297.0
2021-01-03,0.0,195.0
2021-01-04,0.0,524.0
2021-01-05,22.0,441.0
2021-01-06,0.0,391.0
2021-01-07,0.0,357.0
2021-01-08,0.0,311.0
2021-01-09,13.0,150.0
2021-01-10,0.0,154.0
2021-01-11,0.0,401.0
2021-01-12,0.0,287.0
2021-01-13,40.0,218.0
2021-01-14,0.0,233.0
2021-01-15,0.0,262.0
2021-01-16,0.0,140.0
2021-01-18,0.0,271.0
2021-01-19,0.0,255.0
2021-01-20,0.0,222.0
2021-01-21,0.0,181.0
2021-01-22,0.0,215.0
2021-01-23,55.0,55.0
2021-01-24,0.0,42.0
2021-01-25,14.0,188.0
2021-01-26,0.0,164.0
2021-01-27,0.0,148.0
2021-01-28,36.0,110.0
2021-01-29,0.0,177.0
2021-01-30,0.0,56.0
2021-02-01,22.0,194.0
2021-02-02,24.0,118.0
2021-02-03,36.0,109.0
2021-02-04,0.0,131.0
2021-02-05,62.0,62.0
2021-02-06,0.0,78.0
2021-02-07,0.0,55.0
2021-02-08,24.0,121.0
2021-02-09,0.0,112.0
2021-02-10,18.0,74.0
2021-02-11,0.0,82.0
2021-02-12,50.0,34.0
2021-02-13,0.0,40.0
2021-02-16,0.0,101.0
2021-02-17,28.0,56.0
2021-02-18,0.0,57.0
2021-02-19,32.0,63.0
2021-02-22,40.0,40.0
2021-02-23,0.0,83.0
2021-02-24,70.0,24.0
2021-02-25,0.0,81.0
2021-02-27,,
2021-03-01,109.0,0.0
2021-03-03,52.0,52.0
2021-03-04,68.0,34.0
2021-03-05,50.0,50.0
2021-03-06,58.0,19.0
2021-03-08,163.0,0.0
2021-03-09,154.0,0.0
2021-03-10,74.0,37.0
2021-03-11,82.0,41.0
2021-03-12,0.0,129.0
2021-03-13,,
2021-03-15,103.0,52.0
2021-03-16,116.0,29.0
2021-03-17,153.0,0.0
2021-03-18,139.0,0.0
2021-03-20,101.0,0.0
2021-03-22,190.0,0.0
2021-03-23,165.0,0.0
2021-03-24,157.0,0.0
2021-03-25,204.0,0.0
2021-03-26,167.0,0.0
2021-03-29,222.0,0.0
