date,b117,original
2020-12-14,0,1174
2020-12-15,0,1027
2020-12-16,0,917
2020-12-17,0,882
2020-12-18,0,779
2020-12-19,0,580
2020-12-20,0,394
2020-12-21,0,1026
2020-12-22,0,858
2020-12-23,0,817
2020-12-24,0,576
2020-12-25,0,372
2020-12-26,10,433
2020-12-27,0,409
2020-12-28,0,906
2020-12-29,34,763
2020-12-30,68,754
2020-12-31,16,596
2021-01-01,0,302
2021-01-02,9,525
2021-01-03,6,436
2021-01-04,19,959
2021-01-05,102,689
2021-01-06,33,594
2021-01-07,27,611
2021-01-08,50,552
2021-01-09,61,326
2021-01-10,10,257
2021-01-11,71,554
2021-01-12,19,493
2021-01-13,14,478
2021-01-14,0,487
2021-01-15,45,363
2021-01-16,28,234
2021-01-17,0,209
2021-01-18,15,515
2021-01-19,54,382
2021-01-20,36,365
2021-01-21,63,321
2021-01-22,31,347
2021-01-23,49,157
2021-01-24,24,161
2021-01-25,94,376
2021-01-26,64,318
2021-01-27,112,288
2021-01-28,117,250
2021-01-29,73,254
2021-01-30,16,186
2021-01-31,24,144
2021-02-01,119,334
2021-02-02,105,223
2021-02-03,143,171
2021-02-04,42,218
2021-02-05,84,209
2021-02-06,41,139
2021-02-07,26,107
2021-02-08,178,178
2021-02-09,109,140
2021-02-10,123,123
2021-02-11,203,95
2021-02-12,102,117
2021-02-13,56,105
2021-02-14,19,82
2021-02-15,66,213
2021-02-16,97,135
2021-02-17,172,89
2021-02-18,95,153
