date,b117,original
2020-12-14,0,884
2020-12-15,0,841
2020-12-16,0,772
2020-12-17,0,712
2020-12-18,0,651
2020-12-19,0,359
2020-12-20,0,261
2020-12-21,0,927
2020-12-22,0,697
2020-12-23,0,753
2020-12-24,0,438
2020-12-25,0,220
2020-12-26,16,326
2020-12-27,0,278
2020-12-28,0,691
2020-12-29,0,625
2020-12-30,0,581
2020-12-31,0,381
2021-01-01,0,252
2021-01-02,0,339
2021-01-03,0,277
2021-01-04,7,691
2021-01-05,10,473
2021-01-06,0,443
2021-01-07,9,349
2021-01-08,0,370
2021-01-09,0,241
2021-01-10,0,165
2021-01-11,9,440
2021-01-12,8,315
2021-01-13,5,318
2021-01-14,7,283
2021-01-15,6,230
2021-01-16,0,148
2021-01-17,12,92
2021-01-18,19,372
2021-01-19,11,299
2021-01-20,38,257
2021-01-21,52,218
2021-01-22,6,251
2021-01-23,8,134
2021-01-24,11,58
2021-01-25,31,293
2021-01-26,22,212
2021-01-27,27,192
2021-01-28,60,164
2021-01-29,35,131
2021-01-30,8,111
2021-01-31,18,73
2021-02-01,69,187
2021-02-02,48,145
2021-02-03,36,139
2021-02-04,11,157
2021-02-05,92,105
2021-02-06,14,81
2021-02-07,65,33
2021-02-08,34,143
2021-02-09,45,109
2021-02-10,80,63
2021-02-11,23,94
2021-02-12,54,101
2021-02-13,40,37
2021-02-14,6,38
2021-02-15,36,112
2021-02-16,29,62
2021-02-17,53,78
2021-02-18,21,83
2021-02-19,42,85
2021-02-20,62,0
2021-02-21,29,23
2021-02-22,75,69
2021-02-23,53,79
