date,b117,original
2020-12-14,0,1033
2020-12-15,0,1022
2020-12-16,0,1020
2020-12-17,0,894
2020-12-18,0,861
2020-12-19,0,630
2020-12-20,0,488
2020-12-21,0,1068
2020-12-22,0,933
2020-12-23,0,945
2020-12-24,0,645
2020-12-25,0,451
2020-12-26,0,476
2020-12-27,0,485
2020-12-28,54,897
2020-12-29,16,872
2020-12-30,0,810
2020-12-31,0,606
2021-01-01,0,424
2021-01-02,0,529
2021-01-03,0,485
2021-01-04,19,888
2021-01-05,23,749
2021-01-06,0,618
2021-01-07,21,537
2021-01-08,10,567
2021-01-09,0,313
2021-01-10,0,267
2021-01-11,29,531
2021-01-12,38,460
2021-01-13,0,398
2021-01-14,28,338
2021-01-15,14,346
2021-01-16,0,229
2021-01-17,0,172
2021-01-18,10,466
2021-01-19,26,389
2021-01-20,46,360
2021-01-21,17,381
2021-01-22,27,346
2021-01-23,24,192
2021-01-24,0,121
2021-01-25,8,374
2021-01-26,55,285
2021-01-27,29,335
2021-01-28,24,269
2021-01-29,0,282
2021-01-30,20,159
2021-01-31,15,95
2021-02-01,69,258
2021-02-02,41,241
2021-02-03,56,207
2021-02-04,63,173
2021-02-05,34,196
2021-02-06,16,143
2021-02-07,0,125
2021-02-08,91,199
2021-02-09,14,210
2021-02-10,116,96
2021-02-11,73,98
2021-02-12,72,109
2021-02-13,56,56
2021-02-14,24,49
2021-02-15,0,168
2021-02-16,87,87
2021-02-17,36,179
2021-02-18,56,112
2021-02-19,77,68
2021-02-20,24,96
2021-02-21,66,0
2021-02-22,136,45
2021-02-23,130,52
2021-02-24,100,57
2021-02-25,0,138
2021-02-26,134,0
2021-02-27,92,0
2021-03-01,129,52
2021-03-02,187,0
2021-03-03,161,44
2021-03-04,141,35
2021-03-05,119,89
2021-03-06,123,0
2021-03-08,165,99
2021-03-09,192,30
2021-03-10,141,91
2021-03-11,161,44
2021-03-12,189,21
2021-03-13,175,0
2021-03-14,138,0
2021-03-15,322,36
2021-03-16,286,0
2021-03-17,273,30
2021-03-18,201,67
