date,b117,original
2020-12-14,0,639
2020-12-15,0,603
2020-12-16,0,539
2020-12-17,0,484
2020-12-18,0,524
2020-12-21,0,608
2020-12-22,0,544
2020-12-24,0,435
2020-12-25,0,210
2020-12-26,0,360
2020-12-27,0,363
2020-12-28,0,680
2020-12-29,0,641
2020-12-30,0,614
2020-12-31,0,483
2021-01-01,0,262
2021-01-02,168,336
2021-01-04,136,681
2021-01-05,43,648
2021-01-06,30,597
2021-01-07,0,598
2021-01-08,0,518
2021-01-09,0,327
2021-01-11,54,625
2021-01-12,0,484
2021-01-13,40,479
2021-01-14,37,439
2021-01-15,95,412
2021-01-16,170,170
2021-01-17,56,170
2021-01-18,41,568
2021-01-19,23,478
2021-01-20,27,521
2021-01-21,0,480
2021-01-22,52,417
2021-01-23,0,278
2021-01-24,149,74
2021-01-25,153,437
2021-01-26,142,285
2021-01-27,158,292
2021-01-28,0,497
2021-01-29,259,208
2021-01-30,226,75
2021-01-31,0,236
2021-02-01,282,250
2021-02-02,157,315
2021-02-03,207,330
2021-02-04,257,171
2021-02-05,213,237
2021-02-06,258,0
2021-02-07,193,0
2021-02-08,154,308
2021-02-09,264,118
2021-02-10,125,249
2021-02-11,253,95
