date,b117,original
2020-12-15,0,883
2020-12-16,0,834
2020-12-17,0,746
2020-12-18,0,800
2020-12-19,0,307
2020-12-21,0,1114
2020-12-22,0,802
2020-12-24,0,377
2020-12-25,0,182
2020-12-26,0,258
2020-12-27,0,237
2020-12-28,0,976
2020-12-29,0,734
2020-12-30,0,624
2020-12-31,24,386
2021-01-01,0,172
2021-01-02,0,349
2021-01-03,0,245
2021-01-04,0,1023
2021-01-05,0,712
2021-01-06,0,546
2021-01-07,33,432
2021-01-08,0,512
2021-01-09,0,153
2021-01-10,0,111
2021-01-11,65,516
2021-01-12,0,374
2021-01-13,0,388
2021-01-14,0,289
2021-01-15,17,264
2021-01-16,0,159
2021-01-17,48,0
2021-01-18,0,544
2021-01-19,51,288
2021-01-20,0,328
2021-01-21,0,283
2021-01-22,35,259
2021-01-23,34,80
2021-01-24,0,72
2021-01-25,108,349
2021-01-26,31,220
2021-01-27,0,243
2021-01-28,0,210
2021-01-29,0,300
2021-01-30,53,87
2021-01-31,8,54
2021-02-01,85,235
2021-02-02,38,150
2021-02-03,229,0
2021-02-04,0,167
2021-02-05,0,170
2021-02-06,17,70
2021-02-07,24,24
2021-02-08,54,189
2021-02-09,66,99
2021-02-10,101,51
2021-02-11,0,116
2021-02-12,39,77
2021-02-13,18,49
2021-02-14,40,0
2021-02-15,94,117
2021-02-16,91,45
2021-02-17,43,98
2021-02-18,24,86
2021-02-19,59,59
2021-02-20,54,7
2021-02-21,42,0
2021-02-22,148,37
2021-02-23,48,96
2021-02-24,118,0
2021-02-26,119,0
2021-02-28,34,0
2021-03-01,37,148
2021-03-02,104,35
2021-03-03,150,0
2021-03-04,117,0
2021-03-05,148,0
2021-03-06,80,0
2021-03-08,190,48
2021-03-09,162,0
2021-03-10,82,54
2021-03-11,106,36
