date,year,week,region,cases
2020-12-14,2020,51,Central Switzerland,583
2020-12-14,2020,51,Espace Mittelland,1174
2020-12-14,2020,51,Grossregion Nordwestschweiz,884
2020-12-14,2020,51,Grossregion Tessin,378
2020-12-14,2020,51,Grossregion Zurich,1032
2020-12-14,2020,51,Lake Geneva region,639
2020-12-14,2020,51,Ostschweiz,1225
2020-12-15,2020,51,Central Switzerland,541
2020-12-15,2020,51,Espace Mittelland,1027
2020-12-15,2020,51,Grossregion Nordwestschweiz,841
2020-12-15,2020,51,Grossregion Tessin,248
2020-12-15,2020,51,Grossregion Zurich,1022
2020-12-15,2020,51,Lake Geneva region,603
2020-12-15,2020,51,Ostschweiz,883
2020-12-16,2020,51,Central Switzerland,491
2020-12-16,2020,51,Espace Mittelland,917
2020-12-16,2020,51,Grossregion Nordwestschweiz,772
2020-12-16,2020,51,Grossregion Tessin,244
2020-12-16,2020,51,Grossregion Zurich,1020
2020-12-16,2020,51,Lake Geneva region,539
2020-12-16,2020,51,Ostschweiz,834
2020-12-17,2020,51,Central Switzerland,407
2020-12-17,2020,51,Espace Mittelland,882
2020-12-17,2020,51,Grossregion Nordwestschweiz,712
2020-12-17,2020,51,Grossregion Tessin,261
2020-12-17,2020,51,Grossregion Zurich,894
2020-12-17,2020,51,Lake Geneva region,484
2020-12-17,2020,51,Ostschweiz,746
2020-12-18,2020,51,Central Switzerland,458
2020-12-18,2020,51,Espace Mittelland,779
2020-12-18,2020,51,Grossregion Nordwestschweiz,651
2020-12-18,2020,51,Grossregion Tessin,268
2020-12-18,2020,51,Grossregion Zurich,861
2020-12-18,2020,51,Lake Geneva region,524
2020-12-18,2020,51,Ostschweiz,800
2020-12-19,2020,51,Central Switzerland,276
2020-12-19,2020,51,Espace Mittelland,580
2020-12-19,2020,51,Grossregion Nordwestschweiz,359
2020-12-19,2020,51,Grossregion Tessin,186
2020-12-19,2020,51,Grossregion Zurich,630
2020-12-19,2020,51,Lake Geneva region,337
2020-12-19,2020,51,Ostschweiz,307
2020-12-20,2020,51,Central Switzerland,184
2020-12-20,2020,51,Espace Mittelland,394
2020-12-20,2020,51,Grossregion Nordwestschweiz,261
2020-12-20,2020,51,Grossregion Tessin,117
2020-12-20,2020,51,Grossregion Zurich,488
2020-12-20,2020,51,Lake Geneva region,274
2020-12-20,2020,51,Ostschweiz,236
2020-12-21,2020,52,Central Switzerland,530
2020-12-21,2020,52,Espace Mittelland,1026
2020-12-21,2020,52,Grossregion Nordwestschweiz,927
2020-12-21,2020,52,Grossregion Tessin,353
2020-12-21,2020,52,Grossregion Zurich,1068
2020-12-21,2020,52,Lake Geneva region,608
2020-12-21,2020,52,Ostschweiz,1114
2020-12-22,2020,52,Central Switzerland,504
2020-12-22,2020,52,Espace Mittelland,858
2020-12-22,2020,52,Grossregion Nordwestschweiz,697
2020-12-22,2020,52,Grossregion Tessin,263
2020-12-22,2020,52,Grossregion Zurich,933
2020-12-22,2020,52,Lake Geneva region,544
2020-12-22,2020,52,Ostschweiz,802
2020-12-23,2020,52,Central Switzerland,432
2020-12-23,2020,52,Espace Mittelland,817
2020-12-23,2020,52,Grossregion Nordwestschweiz,753
2020-12-23,2020,52,Grossregion Tessin,309
2020-12-23,2020,52,Grossregion Zurich,945
2020-12-23,2020,52,Lake Geneva region,542
2020-12-23,2020,52,Ostschweiz,673
2020-12-24,2020,52,Central Switzerland,352
2020-12-24,2020,52,Espace Mittelland,576
2020-12-24,2020,52,Grossregion Nordwestschweiz,438
2020-12-24,2020,52,Grossregion Tessin,224
2020-12-24,2020,52,Grossregion Zurich,645
2020-12-24,2020,52,Lake Geneva region,435
2020-12-24,2020,52,Ostschweiz,377
2020-12-25,2020,52,Central Switzerland,150
2020-12-25,2020,52,Espace Mittelland,372
2020-12-25,2020,52,Grossregion Nordwestschweiz,220
2020-12-25,2020,52,Grossregion Tessin,136
2020-12-25,2020,52,Grossregion Zurich,451
2020-12-25,2020,52,Lake Geneva region,210
2020-12-25,2020,52,Ostschweiz,182
2020-12-26,2020,52,Central Switzerland,294
2020-12-26,2020,52,Espace Mittelland,443
2020-12-26,2020,52,Grossregion Nordwestschweiz,342
2020-12-26,2020,52,Grossregion Tessin,182
2020-12-26,2020,52,Grossregion Zurich,476
2020-12-26,2020,52,Lake Geneva region,360
2020-12-26,2020,52,Ostschweiz,258
2020-12-27,2020,52,Central Switzerland,168
2020-12-27,2020,52,Espace Mittelland,409
2020-12-27,2020,52,Grossregion Nordwestschweiz,278
2020-12-27,2020,52,Grossregion Tessin,174
2020-12-27,2020,52,Grossregion Zurich,485
2020-12-27,2020,52,Lake Geneva region,363
2020-12-27,2020,52,Ostschweiz,237
2020-12-28,2020,53,Central Switzerland,530
2020-12-28,2020,53,Espace Mittelland,906
2020-12-28,2020,53,Grossregion Nordwestschweiz,691
2020-12-28,2020,53,Grossregion Tessin,297
2020-12-28,2020,53,Grossregion Zurich,951
2020-12-28,2020,53,Lake Geneva region,680
2020-12-28,2020,53,Ostschweiz,976
2020-12-29,2020,53,Central Switzerland,461
2020-12-29,2020,53,Espace Mittelland,797
2020-12-29,2020,53,Grossregion Nordwestschweiz,625
2020-12-29,2020,53,Grossregion Tessin,314
2020-12-29,2020,53,Grossregion Zurich,888
2020-12-29,2020,53,Lake Geneva region,641
2020-12-29,2020,53,Ostschweiz,734
2020-12-30,2020,53,Central Switzerland,437
2020-12-30,2020,53,Espace Mittelland,822
2020-12-30,2020,53,Grossregion Nordwestschweiz,581
2020-12-30,2020,53,Grossregion Tessin,322
2020-12-30,2020,53,Grossregion Zurich,810
2020-12-30,2020,53,Lake Geneva region,614
2020-12-30,2020,53,Ostschweiz,624
2020-12-31,2020,53,Central Switzerland,326
2020-12-31,2020,53,Espace Mittelland,612
2020-12-31,2020,53,Grossregion Nordwestschweiz,381
2020-12-31,2020,53,Grossregion Tessin,236
2020-12-31,2020,53,Grossregion Zurich,606
2020-12-31,2020,53,Lake Geneva region,483
2020-12-31,2020,53,Ostschweiz,410
2021-01-01,2020,53,Central Switzerland,138
2021-01-01,2020,53,Espace Mittelland,302
2021-01-01,2020,53,Grossregion Nordwestschweiz,252
2021-01-01,2020,53,Grossregion Tessin,129
2021-01-01,2020,53,Grossregion Zurich,424
2021-01-01,2020,53,Lake Geneva region,262
2021-01-01,2020,53,Ostschweiz,172
2021-01-02,2020,53,Central Switzerland,297
2021-01-02,2020,53,Espace Mittelland,534
2021-01-02,2020,53,Grossregion Nordwestschweiz,339
2021-01-02,2020,53,Grossregion Tessin,166
2021-01-02,2020,53,Grossregion Zurich,529
2021-01-02,2020,53,Lake Geneva region,504
2021-01-02,2020,53,Ostschweiz,349
2021-01-03,2020,53,Central Switzerland,195
2021-01-03,2020,53,Espace Mittelland,442
2021-01-03,2020,53,Grossregion Nordwestschweiz,277
2021-01-03,2020,53,Grossregion Tessin,146
2021-01-03,2020,53,Grossregion Zurich,485
2021-01-03,2020,53,Lake Geneva region,426
2021-01-03,2020,53,Ostschweiz,245
2021-01-04,2021,1,Central Switzerland,524
2021-01-04,2021,1,Espace Mittelland,978
2021-01-04,2021,1,Grossregion Nordwestschweiz,698
2021-01-04,2021,1,Grossregion Tessin,330
2021-01-04,2021,1,Grossregion Zurich,907
2021-01-04,2021,1,Lake Geneva region,817
2021-01-04,2021,1,Ostschweiz,1023
2021-01-05,2021,1,Central Switzerland,463
2021-01-05,2021,1,Espace Mittelland,791
2021-01-05,2021,1,Grossregion Nordwestschweiz,483
2021-01-05,2021,1,Grossregion Tessin,251
2021-01-05,2021,1,Grossregion Zurich,772
2021-01-05,2021,1,Lake Geneva region,692
2021-01-05,2021,1,Ostschweiz,712
2021-01-06,2021,1,Central Switzerland,391
2021-01-06,2021,1,Espace Mittelland,626
2021-01-06,2021,1,Grossregion Nordwestschweiz,443
2021-01-06,2021,1,Grossregion Tessin,97
2021-01-06,2021,1,Grossregion Zurich,618
2021-01-06,2021,1,Lake Geneva region,627
2021-01-06,2021,1,Ostschweiz,546
2021-01-07,2021,1,Central Switzerland,357
2021-01-07,2021,1,Espace Mittelland,638
2021-01-07,2021,1,Grossregion Nordwestschweiz,358
2021-01-07,2021,1,Grossregion Tessin,202
2021-01-07,2021,1,Grossregion Zurich,558
2021-01-07,2021,1,Lake Geneva region,598
2021-01-07,2021,1,Ostschweiz,465
2021-01-08,2021,1,Central Switzerland,311
2021-01-08,2021,1,Espace Mittelland,602
2021-01-08,2021,1,Grossregion Nordwestschweiz,370
2021-01-08,2021,1,Grossregion Tessin,159
2021-01-08,2021,1,Grossregion Zurich,576
2021-01-08,2021,1,Lake Geneva region,518
2021-01-08,2021,1,Ostschweiz,512
2021-01-09,2021,1,Central Switzerland,163
2021-01-09,2021,1,Espace Mittelland,387
2021-01-09,2021,1,Grossregion Nordwestschweiz,241
2021-01-09,2021,1,Grossregion Tessin,98
2021-01-09,2021,1,Grossregion Zurich,313
2021-01-09,2021,1,Lake Geneva region,327
2021-01-09,2021,1,Ostschweiz,153
2021-01-10,2021,1,Central Switzerland,154
2021-01-10,2021,1,Espace Mittelland,267
2021-01-10,2021,1,Grossregion Nordwestschweiz,165
2021-01-10,2021,1,Grossregion Tessin,71
2021-01-10,2021,1,Grossregion Zurich,267
2021-01-10,2021,1,Lake Geneva region,258
2021-01-10,2021,1,Ostschweiz,111
2021-01-11,2021,2,Central Switzerland,401
2021-01-11,2021,2,Espace Mittelland,625
2021-01-11,2021,2,Grossregion Nordwestschweiz,449
2021-01-11,2021,2,Grossregion Tessin,163
2021-01-11,2021,2,Grossregion Zurich,560
2021-01-11,2021,2,Lake Geneva region,680
2021-01-11,2021,2,Ostschweiz,581
2021-01-12,2021,2,Central Switzerland,286
2021-01-12,2021,2,Espace Mittelland,512
2021-01-12,2021,2,Grossregion Nordwestschweiz,323
2021-01-12,2021,2,Grossregion Tessin,129
2021-01-12,2021,2,Grossregion Zurich,498
2021-01-12,2021,2,Lake Geneva region,484
2021-01-12,2021,2,Ostschweiz,374
2021-01-13,2021,2,Central Switzerland,258
2021-01-13,2021,2,Espace Mittelland,492
2021-01-13,2021,2,Grossregion Nordwestschweiz,323
2021-01-13,2021,2,Grossregion Tessin,83
2021-01-13,2021,2,Grossregion Zurich,398
2021-01-13,2021,2,Lake Geneva region,519
2021-01-13,2021,2,Ostschweiz,388
2021-01-14,2021,2,Central Switzerland,233
2021-01-14,2021,2,Espace Mittelland,487
2021-01-14,2021,2,Grossregion Nordwestschweiz,290
2021-01-14,2021,2,Grossregion Tessin,97
2021-01-14,2021,2,Grossregion Zurich,366
2021-01-14,2021,2,Lake Geneva region,476
2021-01-14,2021,2,Ostschweiz,289
2021-01-15,2021,2,Central Switzerland,262
2021-01-15,2021,2,Espace Mittelland,408
2021-01-15,2021,2,Grossregion Nordwestschweiz,236
2021-01-15,2021,2,Grossregion Tessin,105
2021-01-15,2021,2,Grossregion Zurich,360
2021-01-15,2021,2,Lake Geneva region,507
2021-01-15,2021,2,Ostschweiz,281
2021-01-16,2021,2,Central Switzerland,140
2021-01-16,2021,2,Espace Mittelland,262
2021-01-16,2021,2,Grossregion Nordwestschweiz,148
2021-01-16,2021,2,Grossregion Tessin,59
