date,region,sequenced,b117
2020-12-14,Central Switzerland,18,0
2020-12-14,Espace Mittelland,94,0
2020-12-14,Grossregion Nordwestschweiz,47,0
2020-12-14,Grossregion Tessin,1,0
2020-12-14,Grossregion Zurich,28,0
2020-12-14,Lake Geneva region,5,0
2020-12-14,Ostschweiz,5,0
2020-12-15,Central Switzerland,15,0
2020-12-15,Espace Mittelland,34,0
2020-12-15,Grossregion Nordwestschweiz,64,0
2020-12-15,Grossregion Zurich,6,0
2020-12-15,Lake Geneva region,5,0
2020-12-15,Ostschweiz,2,0
2020-12-16,Central Switzerland,2,0
2020-12-16,Espace Mittelland,16,0
2020-12-16,Grossregion Nordwestschweiz,16,0
2020-12-16,Grossregion Zurich,22,0
2020-12-16,Lake Geneva region,2,0
2020-12-16,Ostschweiz,8,0
2020-12-17,Espace Mittelland,32,0
2020-12-17,Grossregion Nordwestschweiz,15,0
2020-12-17,Grossregion Tessin,4,0
2020-12-17,Grossregion Zurich,10,0
2020-12-17,Lake Geneva region,6,0
2020-12-17,Ostschweiz,6,0
2020-12-18,Central Switzerland,4,0
2020-12-18,Espace Mittelland,25,0
2020-12-18,Grossregion Nordwestschweiz,42,0
2020-12-18,Grossregion Tessin,0,0
2020-12-18,Grossregion Zurich,34,0
2020-12-18,Lake Geneva region,4,0
2020-12-18,Ostschweiz,17,0
2020-12-19,Central Switzerland,2,0
2020-12-19,Espace Mittelland,21,0
2020-12-19,Grossregion Nordwestschweiz,30,0
2020-12-19,Grossregion Zurich,24,0
2020-12-19,Ostschweiz,1,0
2020-12-20,Central Switzerland,8,0
2020-12-20,Espace Mittelland,42,0
2020-12-20,Grossregion Nordwestschweiz,1,0
2020-12-20,Grossregion Zurich,24,0
2020-12-21,Central Switzerland,1,0
2020-12-21,Espace Mittelland,43,0
2020-12-21,Grossregion Nordwestschweiz,37,0
2020-12-21,Grossregion Zurich,24,0
2020-12-21,Lake Geneva region,1,0
2020-12-21,Ostschweiz,13,0
2020-12-22,Central Switzerland,10,0
2020-12-22,Espace Mittelland,25,0
2020-12-22,Grossregion Nordwestschweiz,36,0
2020-12-22,Grossregion Tessin,1,0
2020-12-22,Grossregion Zurich,16,0
2020-12-22,Lake Geneva region,4,0
2020-12-22,Ostschweiz,10,0
2020-12-23,Central Switzerland,3,0
2020-12-23,Espace Mittelland,9,0
2020-12-23,Grossregion Nordwestschweiz,13,0
2020-12-23,Grossregion Zurich,6,0
2020-12-24,Central Switzerland,1,1
2020-12-24,Espace Mittelland,30,0
2020-12-24,Grossregion Nordwestschweiz,14,0
2020-12-24,Grossregion Zurich,16,0
2020-12-24,Lake Geneva region,4,0
2020-12-24,Ostschweiz,15,0
2020-12-25,Central Switzerland,11,0
2020-12-25,Espace Mittelland,63,0
2020-12-25,Grossregion Nordwestschweiz,38,0
2020-12-25,Grossregion Zurich,24,0
2020-12-25,Lake Geneva region,2,0
2020-12-25,Ostschweiz,12,0
2020-12-26,Central Switzerland,1,0
2020-12-26,Espace Mittelland,56,3
2020-12-26,Grossregion Nordwestschweiz,37,0
