date,region,sequenced,b117
2020-12-23,Lake Geneva region,1,0
2020-12-24,Lake Geneva region,13,0
2020-12-25,Lake Geneva region,10,0
2020-12-26,Lake Geneva region,8,3
2020-12-27,Lake Geneva region,2,0
2020-12-28,Lake Geneva region,18,1
2020-12-29,Lake Geneva region,5,0
2020-12-30,Lake Geneva region,1,0
2020-12-31,Lake Geneva region,23,2
2021-01-01,Lake Geneva region,23,1
2021-01-02,Lake Geneva region,19,0
2021-01-06,Lake Geneva region,1,1
2021-01-08,Lake Geneva region,6,2
2021-01-09,Lake Geneva region,31,2
2021-01-10,Lake Geneva region,40,7
2021-01-11,Lake Geneva region,37,6
2021-01-12,Lake Geneva region,25,8
2021-01-13,Lake Geneva region,47,5
2021-01-14,Lake Geneva region,51,4
2021-01-15,Lake Geneva region,61,9
2021-01-16,Lake Geneva region,47,10
2021-01-17,Lake Geneva region,32,9
2021-01-18,Lake Geneva region,73,18
2021-01-19,Lake Geneva region,54,12
2021-01-20,Lake Geneva region,57,8
2021-01-21,Lake Geneva region,41,4
2021-01-22,Lake Geneva region,15,7
2021-01-23,Lake Geneva region,35,8
2021-01-24,Lake Geneva region,45,14
2021-01-25,Lake Geneva region,41,10
2021-01-26,Lake Geneva region,33,14
2021-01-27,Lake Geneva region,52,23
2021-01-28,Lake Geneva region,45,19
2021-01-29,Lake Geneva region,59,24
2021-01-30,Lake Geneva region,54,24
2021-01-31,Lake Geneva region,39,19
2021-02-01,Lake Geneva region,25,11
2021-02-02,Lake Geneva region,21,13
2021-02-03,Lake Geneva region,23,17
2021-02-04,Lake Geneva region,45,26
2021-02-05,Lake Geneva region,51,32
2021-02-06,Lake Geneva region,57,38
2021-02-07,Lake Geneva region,14,5
2021-02-08,Lake Geneva region,20,14
2021-02-09,Lake Geneva region,32,24
2021-02-10,Lake Geneva region,22,17
2021-02-11,Lake Geneva region,40,29
2021-02-12,Lake Geneva region,25,19
2021-02-13,Lake Geneva region,39,26
2021-02-14,Lake Geneva region,28,14
2021-02-15,Lake Geneva region,24,19
2021-02-16,Lake Geneva region,37,23
2021-02-17,Lake Geneva region,24,16
2021-02-18,Lake Geneva region,18,11
2021-02-19,Lake Geneva region,22,16
2021-02-20,Lake Geneva region,29,21
2021-02-21,Lake Geneva region,50,41
2021-02-22,Lake Geneva region,29,23
2021-02-23,Lake Geneva region,27,21
2021-02-24,Lake Geneva region,33,25
2021-02-25,Lake Geneva region,27,20
2021-02-26,Lake Geneva region,5,5
2021-02-27,Lake Geneva region,36,33
2021-02-28,Lake Geneva region,35,32
2021-03-01,Lake Geneva region,32,30
2021-03-02,Lake Geneva region,20,18
2021-03-03,Lake Geneva region,25,22
2021-03-04,Lake Geneva region,28,26
2021-03-05,Lake Geneva region,27,26
2021-03-06,Lake Geneva region,42,39
2021-03-07,Lake Geneva region,38,34
2021-03-08,Lake Geneva region,28,28
2021-03-09,Lake Geneva region,30,29
2021-03-10,Lake Geneva region,31,29
2021-03-11,Lake Geneva region,16,16
2021-03-12,Lake Geneva region,1,1
