date,region,sequenced,b117
2020-12-14,Switzerland,353,0
2020-12-15,Switzerland,409,0
2020-12-16,Switzerland,325,0
2020-12-17,Switzerland,305,0
2020-12-18,Switzerland,291,0
2020-12-19,Switzerland,150,1
2020-12-20,Switzerland,130,0
2020-12-21,Switzerland,353,2
2020-12-22,Switzerland,383,0
2020-12-23,Switzerland,298,0
2020-12-24,Switzerland,203,1
2020-12-25,Switzerland,85,0
2020-12-26,Switzerland,132,0
2020-12-27,Switzerland,79,0
2020-12-28,Switzerland,377,2
2020-12-29,Switzerland,317,2
2020-12-30,Switzerland,288,1
2020-12-31,Switzerland,198,0
2021-01-01,Switzerland,75,0
2021-01-02,Switzerland,109,1
2021-01-03,Switzerland,131,2
2021-01-04,Switzerland,384,8
2021-01-05,Switzerland,321,2
2021-01-06,Switzerland,209,2
2021-01-07,Switzerland,197,1
2021-01-08,Switzerland,196,3
2021-01-09,Switzerland,96,2
2021-01-10,Switzerland,39,0
2021-01-11,Switzerland,221,9
2021-01-12,Switzerland,156,6
2021-01-13,Switzerland,128,6
2021-01-14,Switzerland,103,4
2021-01-15,Switzerland,124,7
2021-01-16,Switzerland,130,4
2021-01-17,Switzerland,49,7
2021-01-18,Switzerland,154,14
2021-01-19,Switzerland,151,10
2021-01-20,Switzerland,125,15
2021-01-21,Switzerland,116,13
2021-01-22,Switzerland,102,13
2021-01-23,Switzerland,73,8
2021-01-24,Switzerland,71,14
2021-01-25,Switzerland,210,30
2021-01-26,Switzerland,158,23
2021-01-27,Switzerland,193,31
2021-01-28,Switzerland,126,34
2021-01-29,Switzerland,162,35
2021-01-30,Switzerland,77,7
2021-01-31,Switzerland,58,9
2021-02-01,Switzerland,185,42
2021-02-02,Switzerland,110,18
2021-02-03,Switzerland,120,23
2021-02-04,Switzerland,114,33
2021-02-05,Switzerland,81,24
2021-02-06,Switzerland,40,13
2021-02-07,Switzerland,12,6
2021-02-08,Switzerland,123,38
2021-02-09,Switzerland,95,21
2021-02-10,Switzerland,88,20
2021-02-11,Switzerland,87,21
2021-02-12,Switzerland,74,21
2021-02-13,Switzerland,47,14
2021-02-14,Switzerland,23,9
2021-02-15,Switzerland,90,36
2021-02-16,Switzerland,82,30
2021-02-17,Switzerland,70,31
2021-02-18,Switzerland,67,26
2021-02-19,Switzerland,69,42
2021-02-20,Switzerland,36,24
2021-02-21,Switzerland,16,10
2021-02-22,Switzerland,100,54
2021-02-23,Switzerland,87,42
2021-02-24,Switzerland,82,47
2021-02-25,Switzerland,84,36
2021-02-26,Switzerland,82,51
2021-02-27,Switzerland,43,25
2021-02-28,Switzerland,22,20
