date,data_type,sd,value
2020-12-18,Non-B117,661.9679968588372,851.6414813972056
2020-12-19,Non-B117,730.3884065415838,959.1862674679535
2020-12-20,Non-B117,761.0401583863838,1015.7146361235845
2020-12-21,B117,52.9455103855729,41.21714546152974
2020-12-21,Non-B117,701.8534882724142,947.4649327228993
2020-12-22,B117,66.4603325817468,52.792156580353726
2020-12-22,Non-B117,616.9980093513926,809.0089333899
2020-12-23,B117,89.44951936129631,68.46090508913443
2020-12-23,Non-B117,510.2385869475758,635.3615654437333
2020-12-24,B117,122.8019053697562,88.1792607088624
2020-12-24,Non-B117,400.8628219407425,475.19157325284726
2020-12-25,B117,158.76276384331095,106.02609137149298
2020-12-25,Non-B117,331.05362070988525,374.970130968898
2020-12-26,B117,183.52401386620662,117.69563549410118
2020-12-26,Non-B117,288.26604578984796,310.71981305257003
2020-12-27,B117,176.8744931791371,118.51218260725237
2020-12-27,Non-B117,274.4216746848645,288.32061261335946
2020-12-28,B117,160.80207818356615,116.71117342877292
2020-12-28,Non-B117,288.6656391234881,299.9624706879052
2020-12-29,B117,157.12046581284733,122.60967831421392
2020-12-29,Non-B117,328.31866901479503,343.7942500076174
2020-12-30,B117,182.6296288449006,143.14401488001118
2020-12-30,Non-B117,407.4765391754681,440.37732792917376
2020-12-31,B117,271.3902897986891,186.03044905289053
2020-12-31,Non-B117,605.6418222689671,639.2741603802688
2021-01-01,B117,359.0331136718583,224.31004409092682
2021-01-01,Non-B117,983.5794341086066,992.7481959467211
2021-01-02,B117,384.58324733557833,237.84766843596483
2021-01-02,Non-B117,1610.1838497146052,1602.4789006705041
2021-01-03,B117,359.5382083654259,233.91995703405257
2021-01-03,Non-B117,2535.9512642624104,2510.6413720749233
2021-01-04,B117,321.3720684099948,229.22752497083192
2021-01-04,Non-B117,3295.9796305665177,3333.8687619777975
2021-01-05,B117,326.8368189716626,255.7738189765921
2021-01-05,Non-B117,3564.885774386972,3818.897912065351
2021-01-06,B117,443.36057725325566,336.2193932509899
2021-01-06,Non-B117,3372.8021259093284,3965.522480069617
2021-01-07,B117,770.71702396409,481.3905319286242
2021-01-07,Non-B117,2962.1281134595747,3909.8333474567257
2021-01-08,B117,1070.3719793368416,617.7382388458356
2021-01-08,Non-B117,2822.302227611282,3932.1456178831986
2021-01-09,B117,1109.2167810918295,667.8869016377214
2021-01-09,Non-B117,2904.9484478724125,4032.9107299257093
2021-01-10,B117,1058.070512032795,697.0265277408092
2021-01-10,Non-B117,3034.385389337132,4083.1914557883197
2021-01-11,B117,1009.515767363542,768.8476866229986
2021-01-11,Non-B117,3145.7385252886556,4024.064252708581
2021-01-12,B117,1148.7892097551069,980.2670085238774
2021-01-12,Non-B117,3030.3757739639373,3750.1136399912316
2021-01-13,B117,1884.3299365979892,1441.574903441546
2021-01-13,Non-B117,2797.7208821257923,3324.468312909864
2021-01-14,B117,3389.5144118192916,2114.298268648571
2021-01-14,Non-B117,2502.01890551573,2904.6877962534168
2021-01-15,B117,4894.422304877772,2767.0258191836374
2021-01-15,Non-B117,2186.5948191110892,2531.1495987504645
2021-01-16,B117,5036.4169526061005,2933.9571924632232
2021-01-16,Non-B117,2034.3058980083451,2248.540288023555
2021-01-17,B117,4450.639438185653,2827.618531186172
2021-01-17,Non-B117,1974.1748405454548,2037.9380434730865
2021-01-18,B117,3992.822528833384,2776.6814859338324
2021-01-18,Non-B117,1891.5911087344973,1848.1951403833002
2021-01-19,B117,3783.1137533286037,2927.580019530841
2021-01-19,Non-B117,1809.1432150705486,1683.005500562215
2021-01-20,B117,4292.234019392905,3527.3471885868194
2021-01-20,Non-B117,1694.403436274907,1546.92556292465
2021-01-21,B117,5863.287511814372,4441.591684558574
2021-01-21,Non-B117,1547.7899664749402,1443.9691085627894
2021-01-22,B117,7501.781807825537,5101.926874455047
2021-01-22,Non-B117,1462.7525240101845,1392.539789703051
2021-01-23,B117,7618.112351282728,5029.983106082802
2021-01-23,Non-B117,1390.9757307190791,1351.6937760352077
2021-01-24,B117,6591.780116032022,4487.760689492503
2021-01-24,Non-B117,1330.1279684555789,1297.8715343149834
2021-01-25,B117,5791.110425143827,4102.775418800993
2021-01-25,Non-B117,1259.0282668843377,1225.0660090035915
2021-01-26,B117,5412.188972620576,4043.9322293302052
2021-01-26,Non-B117,1147.4880876202537,1117.0216838857432
2021-01-27,B117,5548.5533545050985,4305.817837822797
2021-01-27,Non-B117,1050.7570575070079,1005.4750798310371
2021-01-28,B117,6323.885961989826,4730.576326443228
2021-01-28,Non-B117,953.420898398149,911.1024842548596
2021-01-29,B117,6843.624087297176,4798.926671336228
2021-01-29,Non-B117,894.1971225310185,847.2115501598126
2021-01-30,B117,6812.846670998092,4449.385438473063
2021-01-30,Non-B117,874.0488899559577,817.616274021413
2021-01-31,B117,6254.881079550007,3951.538851189654
2021-01-31,Non-B117,847.299908083236,802.2865092929408
2021-02-01,B117,5585.502302887419,3576.974607248057
2021-02-01,Non-B117,816.6197400701732,782.3081859477265
2021-02-02,B117,5235.511325883787,3492.001455767122
2021-02-02,Non-B117,772.6859044027251,747.9759641215296
2021-02-03,B117,5226.929022872654,3666.1863593774797
2021-02-03,Non-B117,726.5431546424235,704.9741475766729
2021-02-04,B117,5846.116574356807,4080.8580489625715
2021-02-04,Non-B117,683.1110179005567,667.7557522237638
2021-02-05,B117,6688.608002825861,4373.543853568891
2021-02-05,Non-B117,646.4864429906581,638.8941888586528
2021-02-06,B117,7014.677054495385,4296.979669773451
2021-02-06,Non-B117,646.5118925125332,631.9132952407875
2021-02-07,B117,6747.432241677904,4020.9897116183365
2021-02-07,Non-B117,643.9698738451241,627.3319472780213
2021-02-08,B117,6196.08282753705,3777.7656298036877
2021-02-08,Non-B117,636.0195537077713,604.068818696767
2021-02-09,B117,5891.187125142161,3778.372412571591
2021-02-09,Non-B117,620.0833640888354,564.2385629139586
2021-02-10,B117,5915.057426833372,4074.807497926231
2021-02-10,Non-B117,551.4812010697531,496.79327749841224
2021-02-11,B117,6994.473262892099,4682.979249560216
2021-02-11,Non-B117,469.73540595315075,418.03575346873413
2021-02-12,B117,8688.245958336145,5077.227946377673
2021-02-12,Non-B117,397.6556764923227,343.92478858937807
2021-02-13,B117,8609.113751809135,4783.300756195612
2021-02-13,Non-B117,323.12292065804724,280.80742138285336
2021-02-14,B117,7352.657518859087,4271.042826856735
2021-02-14,Non-B117,265.15369647159116,229.65328724764393
2021-02-15,B117,5767.2491843782445,3762.130266705594
2021-02-15,Non-B117,226.9736942696923,191.5416171801149
2021-02-16,B117,4827.106460794027,3606.8775925448385
2021-02-16,Non-B117,194.0065856392865,158.59456509826583
2021-02-17,B117,5256.309790121003,4099.370613683555
2021-02-17,Non-B117,165.903392526916,130.37249322580035
2021-02-18,B117,8123.486585775173,5375.594078036549
2021-02-18,Non-B117,146.4319960113523,109.93692820528199
2021-02-19,B117,11752.066632264368,6813.660652215128
2021-02-19,Non-B117,135.16162507366442,95.7263695723967
2021-02-20,B117,12663.864135896485,7291.068506792443
2021-02-20,Non-B117,129.19272819808464,85.17727099070315
2021-02-21,B117,11361.638489783796,6954.558599750688
2021-02-21,Non-B117,123.35062509287995,76.086276223965
2021-02-22,B117,10599.961179696002,6739.623866397473
2021-02-22,Non-B117,118.49513750277984,68.42347852639983
