date,data_type,sd,value
2020-12-09,Non-B117,673.8531651034782,1882.2781120039695
2020-12-10,Non-B117,957.6119900850622,2369.709393208233
2020-12-11,Non-B117,1238.2440328914224,2864.8727498395515
2020-12-12,Non-B117,1533.714168933874,3396.131663117041
2020-12-13,Non-B117,1779.5834537368983,3917.308667859722
2020-12-14,Non-B117,1819.8027619166494,4306.794152465616
2020-12-15,Non-B117,1656.8141645111364,4526.293225994193
2020-12-16,Non-B117,1475.861645844525,4633.4192817904095
2020-12-17,Non-B117,1380.3262272335655,4667.483362728493
2020-12-18,Non-B117,1375.1376572111783,4592.8523725425575
2020-12-19,B117,4.250823960080434,18.699527237705883
2020-12-19,Non-B117,1443.9991492360946,4446.711796900419
2020-12-20,B117,5.6566046870218445,23.938086970868586
2020-12-20,Non-B117,1432.2715572507104,4284.2556187650825
2020-12-21,B117,7.0496446937891,29.806846026548435
2020-12-21,Non-B117,1333.9481446266843,4115.5967183475195
2020-12-22,B117,8.272620429862256,36.36739456939071
2020-12-22,Non-B117,1250.9419125913575,3951.363793320498
2020-12-23,B117,9.83962548069384,43.84688503769095
2020-12-23,Non-B117,1222.5837415535616,3799.9175154959976
2020-12-24,B117,11.186498876720957,52.03135727571013
2020-12-24,Non-B117,1273.5942966889677,3671.2540436510985
2020-12-25,B117,12.55917559085176,60.85057680855237
2020-12-25,Non-B117,1421.444556845649,3566.0475230424786
2020-12-26,B117,14.50103455107319,70.27054803726263
2020-12-26,Non-B117,1503.6744426846415,3466.852782823226
2020-12-27,B117,16.69316370240141,79.94393449077185
2020-12-27,Non-B117,1456.822014326639,3359.2266894918075
2020-12-28,B117,19.559695216434687,89.90082233535767
2020-12-28,Non-B117,1361.1698247035094,3249.0933595300367
2020-12-29,B117,22.242245821959344,99.00917989857099
2020-12-29,Non-B117,1263.3909538122832,3143.964928500257
2020-12-30,B117,23.767834370808696,106.64180350935911
2020-12-30,Non-B117,1186.8404523756378,3044.0126737048577
2020-12-31,B117,25.206613095640712,113.67135563152569
2020-12-31,Non-B117,1212.808188186378,2955.911447689736
2021-01-01,B117,26.66323643966265,120.8269672880671
2021-01-01,Non-B117,1284.4888241589329,2864.84361291301
2021-01-02,B117,27.38141991537312,127.82908645734653
2021-01-02,Non-B117,1291.2609916858828,2744.709920870199
2021-01-03,B117,27.923348363585053,134.15964575604855
2021-01-03,Non-B117,1243.9406701215978,2607.0712328543336
2021-01-04,B117,29.004696130007815,140.26734146685584
2021-01-04,Non-B117,1152.5001894641093,2479.5261302149834
2021-01-05,B117,29.93689672620878,146.0487869675759
2021-01-05,Non-B117,1038.1806477394791,2376.2520343250844
2021-01-06,B117,30.678815814672603,151.81703606758296
2021-01-06,Non-B117,986.8142042480596,2298.9858165744504
2021-01-07,B117,31.154101782896664,158.30515958174945
2021-01-07,Non-B117,1031.8238218026693,2232.8089001222006
2021-01-08,B117,32.278198466757466,164.97931618648212
2021-01-08,Non-B117,1140.8638371971167,2163.606515152456
2021-01-09,B117,34.59254303926156,172.74935547925514
2021-01-09,Non-B117,1233.9828123049185,2088.1676868236777
2021-01-10,B117,37.65512188792606,182.63570573316773
2021-01-10,Non-B117,1210.5065841538626,2011.559323672861
2021-01-11,B117,41.574673853280196,194.33693728455538
2021-01-11,Non-B117,1101.3579445349537,1942.5027442291434
2021-01-12,B117,45.14092359161168,206.32750885466743
2021-01-12,Non-B117,974.6126514524937,1885.0510145320698
2021-01-13,B117,47.08382536635593,218.12001953503372
2021-01-13,Non-B117,855.7295470906935,1833.2593847361552
2021-01-14,B117,48.79689521243059,231.02853102653944
2021-01-14,Non-B117,746.7809053301149,1779.2635949472526
2021-01-15,B117,50.43318107523361,246.21723964517147
2021-01-15,Non-B117,691.4362946322975,1716.5641246440175
2021-01-16,B117,52.193000787019635,262.8006702044998
2021-01-16,Non-B117,706.2181366421285,1649.5176156511386
2021-01-17,B117,55.445555472346484,279.7024741037135
2021-01-17,Non-B117,692.675187286714,1585.3593384602802
2021-01-18,B117,59.45207404454642,297.0203709221476
2021-01-18,Non-B117,625.479530422036,1527.8678992086222
2021-01-19,B117,64.0161908054123,314.85289742507337
2021-01-19,Non-B117,562.6286034829562,1476.5594112517579
2021-01-20,B117,67.89803884083494,331.8489426955221
